Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,40232,State Government Unit or Department of Transportation,Full Reporter,2022,65863,"Orlando, FL","1,853,896",23,CR,Commuter Rail,PT,23,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"19,969,706",,0,,0,,0,,"1,531,271",,0,,0,,"5,190,093",,0,,0,,"26,691,070",
"City of Johnson City, dba: Johnson City Transit System",Johnson City,TN,40054,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,43210,"Johnson City, TN","128,519",23,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"57,033",,"57,033",
"Aiken Area Council on Aging, Inc.",Aiken,SC,40235,Area Agency on Aging,Rural Reporter,2022,85708,"Sumter, SC","73,107",23,DR,Demand Response,DO,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"105,057",,"105,057",
Souris Basin Transit,Minot,ND,80302,Private-Non-Profit Corporation,Rural Reporter,2022,57655,"Minot, ND","50,925",23,DR,Demand Response,DO,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"271,389",,"271,389",
"City of Wilson, NC, dba: Wilson Transit System",Wilson,NC,44931,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,23,DR,Demand Response,PT,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,903",,"1,903",
Cooperative Alliance for Seacoast Transportation,Dover,NH,10086,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,24607,"Dover--Rochester, NH--ME","72,391",23,MB,Bus,DO,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"307,744",,0,,"2,050,076",,0,,0,,"74,667",,0,,0,,"2,432,487",
Mountain Transit Authority,Summersville,WV,30140,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,23,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"123,788",,"123,788",
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,50009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,66160,"Oshkosh, WI","76,190",23,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,259,985",,"2,259,985",
"University of Arkansas, Fayetteville",Fayetteville,AR,60062,University,Reduced Reporter,2022,29494,"Fayetteville--Springdale--Rogers, AR--MO","373,687",23,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"65,472",,"65,472",
Midland-Odessa Urban Transit District,Odessa,TX,60097,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,64864,"Odessa, TX","154,818",23,CB,Commuter Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"247,185",,"247,185",
Great Falls Transit District,Great Falls,MT,80012,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34759,"Great Falls, MT","67,097",23,MB,Bus,DO,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"3,500",,"10,691",,"60,003",,"2,676,482",,0,,0,,0,,0,,0,,"2,750,676",
"Greenville Transit Authority, dba: Greenlink",Greenville,SC,40053,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,35461,"Greenville, SC","387,271",23,MB,Bus,DO,17,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"281,038",,"388,641",,"503,460",,"39,941",,0,,0,,"129,243",,0,,"1,342,323",
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,40232,State Government Unit or Department of Transportation,Full Reporter,2022,65863,"Orlando, FL","1,853,896",23,CR,Commuter Rail,PT,23,Uses of Capital (F-20) - Expansion of Service,"1,165,948",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,165,948",
Thunderbay Transportation Authority,Alpena,MI,50233,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,23,DR,Demand Response,DO,23,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"446,451",,"446,451",
"City of Johnson City, dba: Johnson City Transit System",Johnson City,TN,40054,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,43210,"Johnson City, TN","128,519",23,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,844",,"3,844",
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,50061,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22717,"Decatur, IL","86,287",23,MB,Bus,PT,19,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"15,145",,"10,031",,"21,563",,"1,300,298",,0,,0,,0,,"7,500",,0,,"1,354,537",
Midland-Odessa Urban Transit District,Odessa,TX,60097,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,64864,"Odessa, TX","154,818",23,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,350,673",,"1,350,673",
Susquehanna County Commissioners,Montrose,PA,31045,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,22,DR,Demand Response,PT,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"313,169",,"313,169",
"City of Springfield, dba: City Utilities of Springfield, MO",Springfield,MO,70003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,83953,"Springfield, MO","282,651",22,MB,Bus,DO,18,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"368,000",,0,,0,,0,,"478,376",,0,,"846,376",
Virginia Regional Transit,Purcellville,VA,30118,Private-Non-Profit Corporation,Rural Reporter,2022,,,,22,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"8,164",,"8,164",
Gary Public Transportation Corporation,Gary,IN,50045,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",22,DR,Demand Response,DO,4,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"240,513",,0,,0,,0,,0,,0,,"240,513",
"City of Amarillo, dba: Amarillo City Transit",Amarillo,TX,60001,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,1927,"Amarillo, TX","205,860",22,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"217,123",,"217,123",
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link",Moncks Corner,SC,40206,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,15508,"Charleston, SC","684,773",22,MB,Bus,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"297,850",,"297,850",
"Rowan County, dba: Rowan Transit System",Salisbury,NC,40217,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,19558,"Concord, NC","278,612",22,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"26,398",,"26,398",
Cities Area Transit,Grand Forks,ND,80008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,34219,"Grand Forks, ND--MN","68,160",22,MB,Bus,DO,11,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"10,300",,"25,994",,0,,0,,0,,"3,300",,0,,0,,"39,594",
Potomac Valley Transit Authority,Petersburg,WV,30135,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,22,MB,Bus,DO,14,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"283,000",,"283,000",
Muskogee County Public Transit Authority,Muskogee,OK,60203,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,22,DR,Demand Response,DO,18,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"321,472",,"321,472",
City of Casper,Casper,WY,80013,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,14482,"Casper, WY","67,751",22,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"62,232",,"62,232",
"Steamboat Springs, City of , dba: Steamboat Springs Transit",Steamboat Springs,CO,80186,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,22,CB,Commuter Bus,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"426,853",,"426,853",
Gary Public Transportation Corporation,Gary,IN,50045,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",22,MB,Bus,DO,18,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,448,765",,"63,385",,0,,0,,0,,0,,"1,512,150",
"Tri-County Action Program, Inc.",Waite Park,MN,50474,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,22,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"121,697",,"121,697",
University of Minnesota Transit,Minneapolis,MN,50515,University,Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",22,DR,Demand Response,DO,3,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"4,220",,0,,0,,"4,220",
Virginia Regional Transit,Purcellville,VA,30118,Private-Non-Profit Corporation,Rural Reporter,2022,,,,22,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"61,707",,"61,707",
"Fargo Park District , dba: Valley Senior Services",Fargo,ND,80110,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,29089,"Fargo, ND--MN","216,214",22,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"64,936",,"64,936",
"City of Amarillo, dba: Amarillo City Transit",Amarillo,TX,60001,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,1927,"Amarillo, TX","205,860",22,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"506,621",,"506,621",
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Falmouth,MA,10183,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,5167,"Barnstable Town, MA","303,269",22,FB,Ferryboat,DO,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"9,708,427",,0,,0,,"1,207,934",,"48,002",,0,,"1,253,438",,"35,513",,0,,"12,253,314",
"Midland County Board of Commissioners, dba: County Connection of Midland",Midland,MI,50208,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56980,"Midland, MI","52,340",22,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"113,537",,"113,537",
"Craven County, dba: Craven Area Rural Transit System",New Bern,NC,40210,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,37,North Carolina Non-UZA,"4,506,122",20,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"76,240",,"76,240",
Mid Mon Valley Transit Authority,Charleroi,PA,30061,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",22,MB,Bus,PT,22,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"33,213",,0,,"251,740",,"1,002,186",,0,,"137,110",,"334,572",,0,,0,,"1,758,821",
Potomac Valley Transit Authority,Petersburg,WV,30135,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,22,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"61,835",,"61,835",
"FRS Transportation, Inc",,OH,55474,Private-Non-Profit Corporation,Rural Reporter,2022,,,,22,DR,Demand Response,DO,22,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"297,291",,"297,291",
"Three Rivers Community Action, Inc.",Zumbrota,MN,50510,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,21,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"17,523",,"17,523",
"St. Mary's County Government , dba: St. Mary's Transit System",California,MD,30109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",21,MB,Bus,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"97,546",,"97,546",
Community Connection of Northeast Oregon,La Grande,OR,00343,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,DR,Demand Response,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"249,818",,"249,818",
Northern New England Passenger Rail Authority,Portland,ME,10115,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71263,"Portland, ME","205,356",21,CR,Commuter Rail,PT,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,891,476",,"77,135",,0,,0,,0,,0,,0,,0,,0,,0,,"1,968,611",
"Montrose County Seniors, dba: All Points Transit",Montrose,CO,88215,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,MB,Bus,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"51,498",,"51,498",
Goldsboro-Wayne Transportation Authority,Goldsboro,NC,40132,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,33814,"Goldsboro, NC","54,456",21,DR,Demand Response,DO,16,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"698,167",,"698,167",
Delaware County Transit Board,Delaware,OH,50199,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,19234,"Columbus, OH","1,567,254",21,DR,Demand Response,DO,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"16,644",,0,,"301,359",,0,,0,,0,,0,,0,,"318,003",
"Community Concern , dba: North Fork Area Transit",Norfolk,NE,70156,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,DR,Demand Response,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"185,638",,"185,638",
"City of Iowa City, dba: Iowa City Transit",Iowa City,IA,70018,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,41590,"Iowa City, IA","126,810",21,MB,Bus,DO,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"4,363,156",,0,,0,,0,,"60,237",,0,,"4,423,393",
Bis-Man Transit Board,Bismarck,ND,80019,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,7921,"Bismarck, ND","98,198",21,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,004,701",,"1,004,701",
Redding Area Bus Authority,Redding,CA,90093,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,73774,"Redding, CA","120,602",21,MB,Bus,PT,13,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"415,006",,"18,575",,0,,"251,007",,0,,0,,0,,"98,836",,0,,0,,"783,424",
"St. Mary's County Government , dba: St. Mary's Transit System",California,MD,30109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",21,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"24,387",,"24,387",
"City of Wausau, Wisconsin, dba: Metro Ride",Wausau,WI,50091,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,93025,"Wausau, WI","77,429",21,MB,Bus,DO,18,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,891,985",,"2,891,985",
"Eagle County Regional Transportation Authority, dba: ECO Transit",Eagle,CO,80155,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,21,MB,Bus,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,364,517",,"1,364,517",
"Montrose County Seniors, dba: All Points Transit",Montrose,CO,88215,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,DR,Demand Response,DO,17,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"84,516",,"84,516",
RTS Ontario,Rochester,NY,20967,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,21,MB,Bus,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"647,394",,"647,394",
Heart of Texas Council of Governments,Waco,TX,60142,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,21,DR,Demand Response,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"491,440",,"491,440",
Community Connection of Northeast Oregon,La Grande,OR,00343,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"112,237",,"112,237",
Bis-Man Transit Board,Bismarck,ND,80019,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,7921,"Bismarck, ND","98,198",21,DR,Demand Response,PT,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"77,451",,"77,451",
"Heart of Iowa Regional Transit Agency, dba: HIRTA",Urbandale,IA,70066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2062,"Ames, IA","66,342",21,DR,Demand Response,DO,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"208,286",,0,,0,,0,,0,,0,,"208,286",
Redding Area Bus Authority,Redding,CA,90093,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,73774,"Redding, CA","120,602",21,DR,Demand Response,PT,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"590,216",,0,,0,,0,,0,,0,,"590,216",
"Columbus Consolidated Government, dba: Columbus Metropolitan Transit System",Columbus,GA,40024,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,19099,"Columbus, GA--AL","267,746",21,MB,Bus,DO,15,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"7,613,511",,"7,613,511",
RiverCities Transit,Longview,WA,00016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51283,"Longview, WA--OR","69,841",21,MB,Bus,DO,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"34,584",,0,,"62,620",,0,,0,,0,,0,,"97,204",
"Aaron E. Henry Community Health Services Center,In",Clarksdale,MS,41183,Private-Non-Profit Corporation,Rural Reporter,2022,,,,21,DR,Demand Response,DO,21,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"109,525",,"109,525",
Park City Municipal Corporation,Park City,UT,80284,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,21,MB,Bus,DO,19,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,639,649",,"1,639,649",
Pennsylvania Department of Transportation,Harrisburg,PA,30057,State Government Unit or Department of Transportation,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",20,CR,Commuter Rail,PT,20,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"31,808,263",,0,,0,,0,,0,,0,,0,,0,,0,,"31,808,263",
"City of Sheboygan, dba: Shoreline Metro",Sheboygan,WI,50088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,81118,"Sheboygan, WI","74,369",20,DR,Demand Response,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"249,482",,"249,482",
"Harbor Transit Multi-Modal Transportation System, dba: Harbor Transit",Grand Haven,MI,50196,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,60841,"Muskegon--Norton Shores, MI","166,414",20,MB,Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"359,454",,"359,454",
